,train precision,val precision,test precision,train recall,val recall,test recall,train f1,val f1,test f1
Abstract_Expressionism,0.8280078895463511,0.6091954022988506,0.6620689655172414,0.9429469901168014,0.7709090909090909,0.6832740213523132,0.8817475320310858,0.680577849117175,0.6725043782837128
Art_Nouveau_Modern,0.82646966362779,0.6301775147928994,0.6256684491978609,0.7580738177623991,0.5144927536231884,0.5282167042889391,0.7907956083621597,0.5664893617021277,0.572827417380661
Baroque,0.8655297735532569,0.6451612903225806,0.6431718061674009,0.9092511013215859,0.6682577565632458,0.7036144578313253,0.8868519048983099,0.6565064478311841,0.672036823935558
Cubism,0.8771812080536913,0.7124183006535948,0.75,0.7426136363636363,0.47391304347826085,0.5020408163265306,0.8043076923076923,0.5691906005221932,0.6014669926650367
Expressionism,0.7808475280432073,0.5018587360594795,0.4786885245901639,0.6958533876342096,0.39764359351988215,0.44580152671755724,0.7359044635865308,0.4437140509449466,0.46166007905138334
Impressionism,0.845899084356127,0.6805337519623234,0.6945701357466063,0.832358861305473,0.6762870514820593,0.6857781087118392,0.839074351417943,0.6784037558685446,0.6901461221431248
Naive_Art_Primitivism,0.8431494110353379,0.6266666666666667,0.6622516556291391,0.6967213114754098,0.4177777777777778,0.45248868778280543,0.7629733520336607,0.5013333333333333,0.5376344086021505
Northern_Renaissance,0.9329580348004094,0.8023255813953488,0.7951219512195122,0.9087736789631107,0.7366548042704626,0.6546184738955824,0.9207070707070707,0.7680890538033396,0.7180616740088107
Post_Impressionism,0.6393415906127771,0.4344262295081967,0.3985239852398524,0.7566055930568949,0.566412213740458,0.5337726523887973,0.6930483172864588,0.49171636845593103,0.4563380281690141
Realism,0.7483864461476402,0.5148443157132513,0.5239880059970015,0.8645153774464119,0.6607806691449815,0.6514445479962722,0.8022702702702703,0.5787545787545788,0.5808059825508931
Rococo,0.8238604389420371,0.56,0.6124401913875598,0.8703923900118906,0.5517241379310345,0.6274509803921569,0.8464874241110146,0.5558312655086849,0.6198547215496367
Romanticism,0.8521836506159015,0.5790229885057471,0.5988286969253295,0.813903743315508,0.5620641562064156,0.5910404624277457,0.8326039387308535,0.570417551309271,0.5949090909090909
Symbolism,0.8617219530376444,0.6423611111111112,0.6133333333333333,0.6445497630331753,0.4057017543859649,0.37938144329896906,0.7374800637958532,0.49731182795698925,0.46878980891719746
