,Abstract_Expressionism,Art_Nouveau_Modern,Baroque,Cubism,Expressionism,Impressionism,Naive_Art_Primitivism,Northern_Renaissance,Post_Impressionism,Realism,Rococo,Romanticism,Symbolism
Abstract_Expressionism,194,6,0,23,32,8,7,0,5,4,0,2,17
Art_Nouveau_Modern,10,258,3,3,29,20,9,6,10,23,2,18,39
Baroque,0,1,278,2,3,1,1,13,2,30,49,53,4
Cubism,10,0,1,138,40,1,7,0,6,0,0,0,3
Expressionism,25,29,4,33,315,38,20,7,54,37,0,20,34
Impressionism,11,30,6,6,48,1013,4,1,148,160,3,69,59
Naive_Art_Primitivism,8,23,1,12,47,8,144,8,25,11,0,3,23
Northern_Renaissance,1,13,42,2,6,1,3,197,3,17,8,20,14
Post_Impressionism,8,27,2,21,73,104,19,2,297,60,1,11,31
Realism,2,23,23,1,22,125,1,9,44,617,9,99,33
Rococo,0,0,10,0,0,0,0,0,0,4,90,10,0
Romanticism,0,3,43,0,8,11,2,1,2,84,39,359,22
Symbolism,11,32,5,1,33,10,2,6,9,30,2,35,204
